scenario,replicate,year,C_f,S_b-i,P_adp,C_adp,V_LUC,R2,R1,S_LUC,div,div_loss
45,0,2015,0.45,891,0.0191,0.00032,0.044334364,1,0.243059406,0.756940594,282.9150811,0
45,0,2016,0.45,891,0.0191,0.00032,0.044334364,1,0.243059406,0.756940594,282.8627715,-0.018489506
45,0,2017,0.45,891,0.0191,0.00032,0.044334364,1,0.243059406,0.756940594,282.8074641,-0.038038623
45,0,2018,0.45,891,0.0191,0.00032,0.044334364,1,0.243059406,0.756940594,282.7601101,-0.054776507
45,0,2019,0.45,891,0.0191,0.00032,0.044334364,1,0.243059406,0.756940594,282.7018048,-0.075385271
45,0,2020,0.45,891,0.0191,0.00032,0.044334364,1,0.243059406,0.756940594,275.129948,-2.751756135
45,0,2021,0.45,891,0.0191,0.00032,0.044334364,1,0.243059406,0.756940594,272.3469563,-3.735440599
45,0,2022,0.45,891,0.0191,0.00032,0.044334364,1,0.243059406,0.756940594,270.3716121,-4.433651593
45,0,2023,0.45,891,0.0191,0.00032,0.044334364,1,0.243059406,0.756940594,268.685286,-5.029705396
45,0,2024,0.45,891,0.0191,0.00032,0.044334364,1,0.243059406,0.756940594,267.3522178,-5.500895618
45,0,2025,0.45,891,0.0191,0.00032,0.044334364,1,0.243059406,0.756940594,266.384093,-5.843091869
45,0,2026,0.45,891,0.0191,0.00032,0.044334364,1,0.243059406,0.756940594,265.5091465,-6.152353043
45,0,2027,0.45,891,0.0191,0.00032,0.044334364,1,0.243059406,0.756940594,264.7351484,-6.425932697
45,0,2028,0.45,891,0.0191,0.00032,0.044334364,1,0.243059406,0.756940594,264.1356378,-6.637837484
45,0,2029,0.45,891,0.0191,0.00032,0.044334364,1,0.243059406,0.756940594,263.4947079,-6.864382459
45,0,2030,0.45,891,0.0191,0.00032,0.044334364,1,0.243059406,0.756940594,262.9328847,-7.062966146
45,0,2031,0.45,891,0.0191,0.00032,0.044334364,1,0.243059406,0.756940594,262.149587,-7.339832864
45,0,2032,0.45,891,0.0191,0.00032,0.044334364,1,0.243059406,0.756940594,261.2888345,-7.644076984
45,0,2033,0.45,891,0.0191,0.00032,0.044334364,1,0.243059406,0.756940594,260.5771184,-7.895642259
45,0,2034,0.45,891,0.0191,0.00032,0.044334364,1,0.243059406,0.756940594,259.6958703,-8.207130815
45,0,2035,0.45,891,0.0191,0.00032,0.044334364,1,0.243059406,0.756940594,258.9931478,-8.455517185
45,0,2036,0.45,891,0.0191,0.00032,0.044334364,1,0.243059406,0.756940594,258.4149893,-8.659874795
45,0,2037,0.45,891,0.0191,0.00032,0.044334364,1,0.243059406,0.756940594,257.7833588,-8.883132777
45,0,2038,0.45,891,0.0191,0.00032,0.044334364,1,0.243059406,0.756940594,257.1821964,-9.095621414
45,0,2039,0.45,891,0.0191,0.00032,0.044334364,1,0.243059406,0.756940594,256.6435607,-9.286009179
45,0,2040,0.45,891,0.0191,0.00032,0.044334364,1,0.243059406,0.756940594,256.1487305,-9.460913323
